ProductName,ProductURL,Category,SubCategory,ShortDescription,ServingInfo,BasePrice,Currency,Notes,Shopify,Amazon,TikTok
Digestive Enzyme Pro Blend,https://supliful.com/catalog/digestive-enzyme-pro-blend-capsules,Digestive Support,,Digestive Enzyme Pro Blend supports those who lack the natural digestive enzymes needed to break down food into nutrients needed for the body.*,60 caps - Take one (1) capsule twice a day,6.95,USD,Manufacturer: USA | SRP: $28.90,1,0,1
Methylene Blue Drops,https://supliful.com/catalog/methylene-blue-drops,Specialty Supplements,,"Methylene Blue Drops provide a convenient, easy-to-use liquid supplement containing 10 mg of Methylene Blue per serving. This formulation supports cellular energy production and overall cognitive wellness, helping maintain mental clarity and focus.",Shake well before each use. Adults: Take 1 ml (20 drops) orally once daily,6.25,USD,Manufacturer: USA | SRP: $59.00,1,0,0
Beauty + Collagen Strips,https://supliful.com/catalog/beauty-collagen-strips,"Skin, Hair & Nail Health",,"Mango-flavored oral strip combining Collagen Peptides and Vitamin E to support healthy-looking skin, hair, and nails","Place one oral strip on your tongue daily, up to 1 strip a day",8.03,USD,Manufacturer: India | SRP: $28.90,1,0,1
Creatine Monohydrate,https://supliful.com/catalog/creatine-monohydrate-powder,Muscle Builders,,Creatine Monohydrate powder supplement for muscle building and athletic performance support,Mix recommended serving with water or beverage daily,12.65,USD,SRP: $33.90,1,0,1
Moringa Pure,https://supliful.com/catalog/moringa-pure-capsules,Specialty Supplements,,Moringa supplement in capsule form for nutritional support,Take capsules as directed,6.75,USD,SRP: $26.90,1,0,1
Respiratory & Lung Health Drops,https://supliful.com/catalog/respiratory-lung-health-drops,"Eye, Ear & Nose",,Liquid supplement to support respiratory and lung wellness,Take as directed on label,5.95,USD,Manufacturer: USA | SRP: $32.00,1,0,1
Mushroom Fuse Instant Coffee (Medium Roast),https://supliful.com/catalog/mushroom-fuse-instant-coffee-medium-roast,Coffee & Tea,,"Earthy, smooth, functional instant coffee with Lion's Mane and Chaga mushrooms, blended with beans from Papua New Guinea, Brazil, and Mexico","Add 1 scoop (1 teaspoon) of instant coffee to your cup. Pour in 8-10 oz (236-295 ml) of hot water (160–175°F / 70–80°C), stir, and enjoy",13.99,USD,Manufacturer: USA | SRP: $49.50,1,0,0
Dental + Oral Health Chewables,https://supliful.com/catalog/dental-oral-health-chewables,Specialty Supplements,,"Dental + Oral Health Chewables are a convenient daily supplement designed to support a healthy lifestyle and oral wellness. Each chewable tablet combines probiotics, fruit powder, xylitol, and hydroxyapatite in an easy-to-use format","As a dietary supplement, adults chew one (1) tablet daily. Chew thoroughly before swallowing to allow the active ingredients to interact with the mouth and teeth",5.55,USD,Manufacturer: USA | SRP: $28.00,1,0,1
Vitality Mushroom Coffee (Medium Roast),https://supliful.com/catalog/normal-blood-sugar-drops,Weight Management,,Normal Blood Sugar Drops support healthy glucose metabolism and balanced blood sugar levels,,5.35,USD,Manufacturer: USA | SRP: $19.80,1,0,1
Normal Blood Sugar Drops,https://supliful.com/catalog/normal-blood-sugar-drops,Weight Management,,Normal Blood Sugar Drops support healthy glucose metabolism and balanced blood sugar levels,,5.35,USD,Manufacturer: USA | SRP: $19.80,1,0,1
Ceremonial Matcha Powder,https://supliful.com/catalog/ceremonial-matcha-powder,Coffee & Tea,,Ceremonial grade matcha powder for focus and sustained energy,,13.95,USD,Manufacturer: USA | SRP: $44.90,1,0,0
Gut Health,https://supliful.com/catalog/gut-health-capsules,Digestive Support,,Gut Health capsules support digestive wellness and gut microbiome balance,,5.79,USD,Manufacturer: USA | SRP: $29.99,1,0,1
Mushroom Extract Complex,https://supliful.com/catalog/mushroom-extract-gummies,Mushroom Products,,Mushroom Extract Complex gummies with functional mushroom blend,,9.15,USD,Manufacturer: USA | SRP: $34.90,1,0,1
Appetite Balance & Weight Support Strips,https://supliful.com/catalog/appetite-balance-weight-support-strips,Weight Management,,Appetite Balance strips support healthy weight management and appetite control,,8.03,USD,Manufacturer: USA | SRP: $35.90,1,0,1
NAD+,https://supliful.com/catalog/nad-plus-capsules,Specialty Supplements,,NAD+ capsules support cellular energy and healthy aging,,10.85,USD,Manufacturer: USA | SRP: $60.00,1,0,1
